mean_test_score,std_test_score,mean_train_score,mean_fit_time,max_depth,min_samples_leaf,min_samples_split
0.937,0.059,0.956,0.0009,2,2,12
0.937,0.059,0.956,0.0009,2,2,13
0.939,0.057,0.956,0.0008,2,2,14
0.939,0.061,0.956,0.0008,2,2,15
0.939,0.061,0.956,0.0008,2,2,16
0.937,0.059,0.956,0.0008,2,2,17
0.937,0.059,0.956,0.0013,2,2,18
0.94,0.059,0.956,0.0008,2,2,19
0.939,0.061,0.956,0.0013,2,3,2
0.937,0.059,0.956,0.0008,2,3,3
0.939,0.061,0.956,0.002,2,3,4
0.937,0.059,0.956,0.0013,2,3,5
0.937,0.059,0.956,0.0008,2,3,6
0.939,0.057,0.956,0.0008,2,3,7
0.94,0.059,0.956,0.0008,2,3,8
0.939,0.061,0.956,0.0008,2,3,9
0.94,0.059,0.956,0.0008,2,3,10
0.939,0.057,0.956,0.0008,2,3,11
0.939,0.057,0.956,0.0008,2,3,12
0.94,0.059,0.956,0.0008,2,3,13
0.94,0.059,0.956,0.0008,2,3,14
0.94,0.059,0.956,0.0011,2,3,15
0.937,0.059,0.956,0.0008,2,3,16
0.939,0.061,0.956,0.0008,2,3,17
0.937,0.059,0.956,0.0008,2,3,18
0.94,0.059,0.956,0.0015,2,3,19
0.939,0.061,0.956,0.0014,2,4,2
0.939,0.061,0.956,0.0013,2,4,3
0.937,0.059,0.956,0.0008,2,4,4
0.94,0.059,0.956,0.0009,2,4,5
0.939,0.061,0.956,0.0008,2,4,6
0.94,0.059,0.956,0.0008,2,4,7
0.94,0.059,0.956,0.0008,2,4,8
0.939,0.057,0.956,0.0009,2,4,9
0.937,0.059,0.956,0.0008,2,4,10
0.937,0.059,0.956,0.0008,2,4,11
0.937,0.059,0.956,0.0008,2,4,12
0.939,0.061,0.956,0.0008,2,4,13
0.937,0.059,0.956,0.0008,2,4,14
0.94,0.059,0.956,0.0013,2,4,15
0.939,0.057,0.956,0.0008,2,4,16
0.94,0.059,0.956,0.0008,2,4,17
0.94,0.059,0.956,0.0008,2,4,18
0.937,0.059,0.956,0.0008,2,4,19
0.937,0.059,0.956,0.0008,2,5,2
0.94,0.059,0.956,0.0008,2,5,3
0.939,0.061,0.956,0.0008,2,5,4
0.937,0.059,0.956,0.0008,2,5,5
0.937,0.059,0.956,0.0008,2,5,6
0.939,0.057,0.956,0.0008,2,5,7
0.94,0.059,0.956,0.0007,2,5,8
0.939,0.057,0.956,0.0013,2,5,9
0.939,0.061,0.956,0.0008,2,5,10
0.94,0.059,0.956,0.0008,2,5,11
0.94,0.059,0.956,0.0008,2,5,12
0.94,0.059,0.956,0.0011,2,5,13
0.94,0.059,0.956,0.0008,2,5,14
0.937,0.059,0.956,0.0008,2,5,15
0.937,0.059,0.956,0.0008,2,5,16
0.94,0.059,0.956,0.0008,2,5,17
0.94,0.059,0.956,0.0008,2,5,18
0.939,0.057,0.956,0.0008,2,5,19
0.939,0.057,0.956,0.0008,2,6,2
0.937,0.059,0.956,0.0008,2,6,3
0.939,0.057,0.956,0.0008,2,6,4
0.939,0.057,0.956,0.0008,2,6,5
0.939,0.057,0.956,0.0008,2,6,6
0.939,0.061,0.956,0.0007,2,6,7
0.939,0.061,0.956,0.0009,2,6,8
0.94,0.059,0.956,0.0008,2,6,9
0.939,0.061,0.956,0.0008,2,6,10
0.94,0.059,0.956,0.0008,2,6,11
0.94,0.059,0.956,0.0008,2,6,12
0.94,0.059,0.956,0.0008,2,6,13
0.939,0.061,0.956,0.0008,2,6,14
0.937,0.059,0.956,0.0008,2,6,15
0.94,0.059,0.956,0.0008,2,6,16
0.939,0.057,0.956,0.001,2,6,17
0.94,0.059,0.956,0.0009,2,6,18
0.937,0.059,0.956,0.0008,2,6,19
0.94,0.059,0.956,0.0013,2,7,2
0.937,0.059,0.956,0.0013,2,7,3
0.94,0.059,0.956,0.0008,2,7,4
0.94,0.059,0.956,0.0008,2,7,5
0.939,0.061,0.956,0.0008,2,7,6
0.939,0.057,0.956,0.0008,2,7,7
0.94,0.059,0.956,0.0008,2,7,8
0.937,0.059,0.956,0.0008,2,7,9
0.939,0.057,0.956,0.0008,2,7,10
0.937,0.059,0.956,0.0008,2,7,11
0.937,0.059,0.956,0.0022,2,7,12
0.939,0.057,0.956,0.0009,2,7,13
0.939,0.057,0.956,0.0008,2,7,14
0.94,0.059,0.956,0.0008,2,7,15
0.939,0.057,0.956,0.0008,2,7,16
0.939,0.057,0.956,0.0008,2,7,17
0.939,0.057,0.956,0.0008,2,7,18
0.94,0.059,0.956,0.0008,2,7,19
0.934,0.063,0.955,0.0008,2,8,2
0.937,0.064,0.955,0.0008,2,8,3
0.937,0.064,0.955,0.0008,2,8,4
0.936,0.066,0.955,0.0008,2,8,5
0.936,0.066,0.955,0.0013,2,8,6
0.934,0.063,0.955,0.0012,2,8,7
0.934,0.063,0.955,0.0008,2,8,8
0.934,0.063,0.955,0.0008,2,8,9
0.936,0.062,0.955,0.0008,2,8,10
0.936,0.062,0.955,0.0008,2,8,11
0.936,0.062,0.955,0.0009,2,8,12
0.936,0.062,0.955,0.0009,2,8,13
0.937,0.064,0.955,0.0008,2,8,14
0.937,0.064,0.955,0.0008,2,8,15
0.936,0.062,0.955,0.0008,2,8,16
0.937,0.064,0.955,0.0008,2,8,17
0.934,0.063,0.955,0.0008,2,8,18
0.936,0.062,0.955,0.0008,2,8,19
0.937,0.064,0.955,0.002,2,9,2
0.937,0.064,0.955,0.0008,2,9,3
0.937,0.064,0.955,0.0008,2,9,4
