mean_test_score,std_test_score,mean_train_score,mean_fit_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
0.959,0.065,0.962,0.6288,identity,0.1,"(5, 100)",adaptive,sgd
0.959,0.062,0.963,0.6903,identity,10,"(10, 100)",adaptive,sgd
0.959,0.062,0.963,0.5626,identity,10,"(10, 50)",adaptive,sgd
0.959,0.062,0.962,0.5364,identity,10,"(5, 50)",constant,sgd
0.959,0.061,0.964,1.1433,relu,10,"(5, 100)",adaptive,adam
0.959,0.061,0.993,0.3767,relu,1,"(10, 50)",constant,lbfgs
0.959,0.059,0.965,0.6573,identity,1,"(10, 100)",constant,sgd
0.959,0.058,0.959,1.1395,tanh,10,"(5, 100)",adaptive,adam
0.959,0.056,0.963,0.7268,identity,10,"(5, 100)",invscaling,adam
0.959,0.056,0.964,0.6279,identity,10,"(10, 50)",constant,adam
0.959,0.056,0.985,0.5123,relu,1,"(5, 100)",constant,lbfgs
0.959,0.055,0.972,0.9387,tanh,1,"(10, 50)",adaptive,adam
0.959,0.055,0.991,0.8256,tanh,1,"(5, 100)",adaptive,lbfgs
0.959,0.049,0.966,1.2506,logistic,0.1,"(10, 100)",constant,adam
0.959,0.048,0.972,1.2243,tanh,1,"(10, 100)",invscaling,adam
0.959,0.047,0.966,0.8995,logistic,0.1,"(10, 50)",invscaling,adam
0.959,0.047,0.962,0.6085,identity,1,"(5, 100)",constant,sgd
0.959,0.045,0.966,1.2725,logistic,0.1,"(10, 100)",adaptive,adam
0.958,0.075,0.975,0.294,relu,0.1,"(5, 50)",constant,lbfgs
0.958,0.068,0.968,0.5855,identity,0.1,"(10, 50)",constant,sgd
0.958,0.064,0.963,0.8484,relu,10,"(5, 50)",adaptive,sgd
0.958,0.062,0.963,0.542,identity,10,"(10, 50)",constant,sgd
0.958,0.057,0.964,1.3085,tanh,10,"(10, 100)",adaptive,adam
0.958,0.057,0.964,1.1186,relu,10,"(5, 100)",constant,adam
0.958,0.056,0.961,0.9198,logistic,1,"(10, 50)",adaptive,adam
0.958,0.054,0.968,0.6905,identity,0.1,"(10, 100)",constant,sgd
0.958,0.053,0.963,0.6452,identity,1,"(5, 100)",adaptive,sgd
0.958,0.05,0.964,1.1565,logistic,0.1,"(5, 100)",constant,adam
0.958,0.042,0.973,1.2353,tanh,1,"(10, 100)",adaptive,adam
0.958,0.042,0.991,0.8135,logistic,0.1,"(5, 100)",invscaling,lbfgs
0.956,0.068,0.961,1.2629,logistic,1,"(10, 100)",constant,adam
0.956,0.065,0.997,0.6977,relu,1,"(10, 100)",invscaling,lbfgs
0.956,0.061,0.96,0.916,logistic,1,"(10, 50)",invscaling,adam
0.956,0.061,0.96,0.7447,relu,1,"(5, 50)",constant,sgd
0.956,0.058,0.999,0.5893,tanh,1,"(10, 50)",adaptive,lbfgs
0.956,0.057,0.963,0.6032,identity,10,"(5, 50)",constant,adam
0.956,0.057,0.962,0.5702,identity,0.1,"(5, 50)",adaptive,sgd
0.956,0.055,0.956,1.1929,tanh,10,"(10, 100)",adaptive,sgd
0.956,0.055,0.992,0.8213,tanh,1,"(5, 100)",invscaling,lbfgs
0.956,0.054,0.96,0.8538,logistic,0.1,"(5, 50)",invscaling,adam
0.956,0.052,0.963,0.9007,tanh,1,"(5, 50)",invscaling,adam
0.956,0.051,0.967,0.5658,identity,1,"(10, 50)",adaptive,sgd
0.956,0.05,0.995,0.6104,tanh,0.1,"(10, 50)",constant,lbfgs
0.956,0.043,0.975,1.3259,tanh,0.1,"(10, 100)",constant,adam
0.956,0.042,0.963,1.1796,tanh,1,"(5, 100)",invscaling,adam
0.956,0.037,0.999,0.924,tanh,1,"(10, 100)",constant,lbfgs
0.956,0.034,0.993,0.5525,tanh,1,"(5, 50)",constant,lbfgs
0.955,0.066,0.96,1.2891,logistic,1,"(10, 100)",adaptive,adam
0.955,0.063,0.996,0.7108,relu,1,"(10, 100)",constant,lbfgs
0.955,0.062,0.959,1.1228,tanh,10,"(5, 100)",constant,adam
0.955,0.06,0.994,0.4349,relu,1,"(10, 50)",invscaling,lbfgs
0.955,0.057,0.972,0.9538,tanh,0.1,"(10, 50)",invscaling,adam
0.955,0.056,0.963,1.2404,tanh,10,"(10, 100)",invscaling,adam
0.955,0.056,0.961,1.1884,tanh,1,"(5, 100)",adaptive,adam
0.955,0.054,0.988,0.5266,tanh,0.1,"(5, 50)",invscaling,lbfgs
0.955,0.053,0.96,0.8492,logistic,0.1,"(5, 50)",adaptive,adam
0.955,0.051,0.962,1.1889,logistic,0.1,"(5, 100)",adaptive,adam
0.955,0.051,0.962,0.8498,logistic,0.1,"(5, 50)",constant,adam
0.955,0.046,0.993,0.6008,relu,0.1,"(10, 100)",constant,lbfgs
0.955,0.044,0.969,0.9302,tanh,1,"(10, 50)",constant,adam
0.955,0.04,0.992,0.52,tanh,1,"(5, 50)",invscaling,lbfgs
0.955,0.037,0.996,0.9717,tanh,0.1,"(10, 100)",invscaling,lbfgs
0.955,0.033,0.99,0.4665,logistic,0.1,"(5, 50)",adaptive,lbfgs
0.953,0.081,0.973,0.303,relu,1,"(5, 50)",adaptive,lbfgs
0.953,0.067,0.96,1.2475,logistic,1,"(10, 100)",invscaling,adam
0.953,0.066,0.965,0.9639,tanh,10,"(10, 50)",invscaling,adam
0.953,0.066,0.983,0.4802,relu,0.1,"(5, 100)",adaptive,lbfgs
0.953,0.062,0.966,0.483,identity,0.1,"(5, 50)",constant,sgd
0.953,0.061,0.964,0.5185,identity,1,"(5, 50)",adaptive,sgd
0.953,0.052,0.963,1.1822,logistic,0.1,"(5, 100)",invscaling,adam
0.953,0.05,0.958,0.9693,tanh,0.1,"(5, 50)",constant,adam
0.953,0.05,0.965,0.9517,tanh,1,"(5, 50)",constant,adam
0.953,0.048,0.96,0.777,relu,0.1,"(5, 50)",constant,sgd
0.953,0.043,0.96,0.9358,relu,0.1,"(5, 100)",constant,sgd
0.953,0.039,0.96,0.7818,relu,0.1,"(5, 50)",adaptive,sgd
0.952,0.074,0.951,0.8394,tanh,10,"(10, 50)",constant,sgd
0.952,0.066,0.96,0.9385,logistic,1,"(10, 50)",constant,adam
0.952,0.063,0.96,1.2222,tanh,0.1,"(5, 100)",invscaling,adam
0.952,0.062,0.959,1.1557,tanh,10,"(5, 100)",invscaling,adam
0.952,0.062,0.974,0.979,tanh,0.1,"(10, 50)",constant,adam
0.952,0.062,0.994,0.6073,relu,0.1,"(10, 100)",adaptive,lbfgs
0.952,0.061,0.991,0.7861,logistic,0.1,"(5, 100)",constant,lbfgs
0.952,0.055,0.999,0.9049,tanh,1,"(10, 100)",invscaling,lbfgs
0.952,0.055,0.997,0.5557,tanh,1,"(10, 50)",invscaling,lbfgs
0.952,0.052,0.963,1.0258,relu,0.1,"(5, 100)",adaptive,sgd
0.952,0.052,0.974,0.9285,tanh,0.1,"(10, 50)",adaptive,adam
0.952,0.051,0.96,0.8015,relu,0.1,"(10, 50)",constant,sgd
0.952,0.05,0.965,0.8844,tanh,0.1,"(5, 50)",adaptive,adam
0.952,0.049,0.964,1.112,relu,1,"(10, 100)",constant,sgd
0.952,0.049,0.996,0.6545,tanh,0.1,"(10, 50)",invscaling,lbfgs
0.95,0.12,0.95,0.1302,identity,1,"(10, 50)",invscaling,lbfgs
0.95,0.082,0.994,0.4438,relu,0.1,"(10, 50)",constant,lbfgs
0.95,0.079,0.952,1.1369,tanh,10,"(10, 100)",constant,sgd
0.95,0.071,0.986,0.3388,relu,0.1,"(10, 50)",adaptive,lbfgs
0.95,0.063,0.962,0.8046,relu,0.1,"(10, 50)",adaptive,sgd
0.95,0.06,0.964,1.0796,relu,1,"(10, 100)",adaptive,sgd
0.95,0.06,0.997,0.9453,tanh,0.1,"(10, 100)",constant,lbfgs
0.95,0.06,0.96,0.8912,tanh,1,"(5, 50)",adaptive,adam
0.95,0.058,0.99,0.5249,tanh,0.1,"(5, 50)",constant,lbfgs
0.95,0.057,0.994,0.5756,tanh,0.1,"(10, 50)",adaptive,lbfgs
0.95,0.056,0.975,1.3239,tanh,0.1,"(10, 100)",invscaling,adam
0.95,0.054,0.988,0.8492,tanh,0.1,"(5, 100)",invscaling,lbfgs
0.95,0.052,0.999,0.9119,tanh,1,"(10, 100)",adaptive,lbfgs
0.949,0.076,0.972,1.3629,tanh,0.1,"(10, 100)",adaptive,adam
0.949,0.074,0.956,0.9493,tanh,10,"(5, 50)",invscaling,adam
0.949,0.067,0.999,0.6487,relu,0.1,"(10, 100)",invscaling,lbfgs
0.949,0.057,0.997,0.8612,logistic,0.1,"(10, 100)",invscaling,lbfgs
0.947,0.08,0.965,1.2172,tanh,0.1,"(5, 100)",constant,adam
0.947,0.078,0.951,1.1713,logistic,1,"(5, 100)",invscaling,adam
0.947,0.073,0.958,0.8512,tanh,10,"(10, 50)",adaptive,sgd
0.947,0.07,0.998,0.8593,logistic,0.1,"(10, 100)",adaptive,lbfgs
0.947,0.06,0.962,0.9929,relu,1,"(10, 50)",adaptive,sgd
0.947,0.058,0.999,0.5374,logistic,0.1,"(10, 50)",invscaling,lbfgs
0.947,0.058,0.994,0.5154,tanh,1,"(5, 50)",adaptive,lbfgs
0.947,0.049,0.993,0.8316,tanh,1,"(5, 100)",constant,lbfgs
0.947,0.043,0.998,0.9026,logistic,0.1,"(10, 100)",constant,lbfgs
0.946,0.082,0.952,1.2034,logistic,1,"(5, 100)",adaptive,adam
0.946,0.08,0.96,0.9106,relu,1,"(5, 100)",constant,sgd
0.946,0.075,0.954,0.8394,tanh,10,"(5, 50)",constant,adam
0.946,0.074,0.949,0.8699,tanh,10,"(5, 50)",adaptive,adam
0.946,0.062,0.998,0.5128,logistic,0.1,"(10, 50)",constant,lbfgs
0.944,0.107,0.97,0.4151,relu,1,"(5, 100)",invscaling,lbfgs
0.944,0.088,0.954,1.1607,logistic,1,"(5, 100)",constant,adam
0.944,0.081,0.996,0.3848,relu,0.1,"(10, 50)",invscaling,lbfgs
0.944,0.067,0.962,0.8298,relu,1,"(10, 50)",constant,sgd
0.944,0.06,0.963,0.954,tanh,0.1,"(5, 50)",invscaling,adam
0.944,0.058,0.961,1.199,tanh,1,"(5, 100)",constant,adam
0.944,0.047,0.964,1.0458,relu,0.1,"(10, 100)",adaptive,sgd
0.941,0.178,0.936,0.2085,identity,1,"(10, 100)",constant,lbfgs
0.941,0.086,0.95,0.8519,logistic,1,"(5, 50)",adaptive,adam
0.941,0.068,0.999,0.5676,tanh,1,"(10, 50)",constant,lbfgs
0.941,0.067,0.946,1.0483,tanh,10,"(5, 100)",constant,sgd
0.941,0.067,0.997,0.9823,tanh,0.1,"(10, 100)",adaptive,lbfgs
0.94,0.195,0.939,0.0652,identity,10,"(5, 50)",constant,lbfgs
0.939,0.177,0.937,0.1919,identity,0.1,"(5, 100)",constant,lbfgs
0.939,0.089,0.94,0.8762,logistic,1,"(5, 50)",constant,adam
0.939,0.082,0.939,1.2532,tanh,0.1,"(10, 100)",adaptive,sgd
0.939,0.076,0.943,0.8813,tanh,1,"(10, 50)",constant,sgd
0.937,0.194,0.94,0.0819,identity,10,"(10, 50)",constant,lbfgs
0.937,0.059,0.96,1.275,tanh,0.1,"(5, 100)",adaptive,adam
0.936,0.074,0.945,1.2332,tanh,1,"(10, 100)",constant,sgd
0.934,0.184,0.946,0.1787,identity,0.1,"(10, 100)",adaptive,lbfgs
0.933,0.215,0.927,0.1545,identity,0.1,"(10, 50)",constant,lbfgs
0.933,0.201,0.939,0.1086,identity,10,"(10, 100)",adaptive,lbfgs
0.933,0.193,0.941,0.5517,logistic,10,"(5, 100)",adaptive,lbfgs
