mean_test_score,std_test_score,mean_train_score,mean_fit_time,kernel,gamma,C,degree
0.966,0.021,0.974,0.0192,10,0,0.1,linear
0.96,0.044,1.0,0.0067,10,0,0.1,rbf
0.65,0.003,0.65,0.0045,10,0,0.1,poly
0.966,0.021,0.974,0.0194,10,0,1,linear
0.884,0.039,1.0,0.0293,10,0,1,rbf
0.65,0.003,0.65,0.0046,10,0,1,poly
0.966,0.021,0.974,0.0195,10,0,10,linear
0.69,0.047,1.0,0.018,10,0,10,rbf
0.65,0.003,0.65,0.0121,10,0,10,poly
0.966,0.021,0.974,0.0256,10,0,100,linear
0.69,0.047,1.0,0.0136,10,0,100,rbf
0.65,0.003,0.65,0.0096,10,0,100,poly
0.966,0.021,0.974,0.0502,10,1,0.1,linear
0.96,0.044,1.0,0.0069,10,1,0.1,rbf
0.968,0.011,0.972,0.0042,10,1,0.1,poly
0.966,0.021,0.974,0.0206,10,1,1,linear
0.884,0.039,1.0,0.013,10,1,1,rbf
0.966,0.021,0.974,0.0246,10,1,1,poly
0.966,0.021,0.974,0.0223,10,1,10,linear
0.69,0.047,1.0,0.0118,10,1,10,rbf
0.966,0.021,0.974,0.2139,10,1,10,poly
0.966,0.021,0.974,0.0199,10,1,100,linear
0.69,0.047,1.0,0.0107,10,1,100,rbf
0.966,0.021,0.974,3.1444,10,1,100,poly
0.966,0.021,0.974,0.0192,10,2,0.1,linear
0.96,0.044,1.0,0.0068,10,2,0.1,rbf
0.937,0.048,0.998,0.0473,10,2,0.1,poly
0.966,0.021,0.974,0.0223,10,2,1,linear
0.884,0.039,1.0,0.0127,10,2,1,rbf
0.928,0.054,1.0,0.1285,10,2,1,poly
0.966,0.021,0.974,0.021,10,2,10,linear
0.69,0.047,1.0,0.017,10,2,10,rbf
0.928,0.054,1.0,0.1508,10,2,10,poly
0.966,0.021,0.974,0.0196,10,2,100,linear
0.69,0.047,1.0,0.0108,10,2,100,rbf
0.928,0.054,1.0,0.0939,10,2,100,poly
0.966,0.021,0.974,0.0205,10,3,0.1,linear
0.96,0.044,1.0,0.0077,10,3,0.1,rbf
0.944,0.041,1.0,0.0211,10,3,0.1,poly
0.966,0.021,0.974,0.0217,10,3,1,linear
0.884,0.039,1.0,0.0126,10,3,1,rbf
0.944,0.041,1.0,0.0195,10,3,1,poly
0.966,0.021,0.974,0.02,10,3,10,linear
0.69,0.047,1.0,0.011,10,3,10,rbf
0.944,0.041,1.0,0.023,10,3,10,poly
0.966,0.021,0.974,0.0191,10,3,100,linear
0.69,0.047,1.0,0.0107,10,3,100,rbf
0.944,0.041,1.0,0.0196,10,3,100,poly
0.966,0.021,0.974,0.0215,10,4,0.1,linear
0.96,0.044,1.0,0.007,10,4,0.1,rbf
0.943,0.025,1.0,0.0154,10,4,0.1,poly
0.966,0.021,0.974,0.02,10,4,1,linear
0.884,0.039,1.0,0.0125,10,4,1,rbf
0.943,0.025,1.0,0.0152,10,4,1,poly
0.966,0.021,0.974,0.0204,10,4,10,linear
0.69,0.047,1.0,0.0113,10,4,10,rbf
0.943,0.025,1.0,0.0145,10,4,10,poly
0.966,0.021,0.974,0.02,10,4,100,linear
0.69,0.047,1.0,0.0105,10,4,100,rbf
0.943,0.025,1.0,0.0143,10,4,100,poly
0.966,0.021,0.974,0.0192,10,5,0.1,linear
0.96,0.044,1.0,0.0066,10,5,0.1,rbf
0.94,0.022,1.0,0.0112,10,5,0.1,poly
0.966,0.021,0.974,0.0206,10,5,1,linear
0.884,0.039,1.0,0.0125,10,5,1,rbf
0.94,0.022,1.0,0.0131,10,5,1,poly
0.966,0.021,0.974,0.02,10,5,10,linear
0.69,0.047,1.0,0.0112,10,5,10,rbf
0.94,0.022,1.0,0.0132,10,5,10,poly
0.966,0.021,0.974,0.0207,10,5,100,linear
0.69,0.047,1.0,0.0105,10,5,100,rbf
0.94,0.022,1.0,0.0102,10,5,100,poly
0.966,0.021,0.974,0.0193,10,6,0.1,linear
0.96,0.044,1.0,0.0067,10,6,0.1,rbf
0.94,0.034,1.0,0.0144,10,6,0.1,poly
0.966,0.021,0.974,0.019,10,6,1,linear
0.884,0.039,1.0,0.0121,10,6,1,rbf
0.94,0.034,1.0,0.0151,10,6,1,poly
0.966,0.021,0.974,0.019,10,6,10,linear
0.69,0.047,1.0,0.0171,10,6,10,rbf
0.94,0.034,1.0,0.0147,10,6,10,poly
0.966,0.021,0.974,0.0205,10,6,100,linear
0.69,0.047,1.0,0.0111,10,6,100,rbf
0.94,0.034,1.0,0.0124,10,6,100,poly
0.966,0.021,0.974,0.2329,100,0,0.1,linear
0.96,0.044,1.0,0.0067,100,0,0.1,rbf
0.65,0.003,0.65,0.0045,100,0,0.1,poly
0.966,0.021,0.974,0.2361,100,0,1,linear
0.884,0.039,1.0,0.0123,100,0,1,rbf
0.65,0.003,0.65,0.0045,100,0,1,poly
0.966,0.021,0.974,0.2817,100,0,10,linear
0.69,0.047,1.0,0.0156,100,0,10,rbf
0.65,0.003,0.65,0.0075,100,0,10,poly
0.966,0.021,0.974,0.306,100,0,100,linear
0.69,0.047,1.0,0.0105,100,0,100,rbf
0.65,0.003,0.65,0.0044,100,0,100,poly
0.966,0.021,0.974,0.2394,100,1,0.1,linear
